time_ms,speed_mps
0,12.000
10,12.450
20,12.873
30,13.246
40,13.552
50,13.783
60,13.938
70,14.027
80,14.066
90,14.077
100,14.082
110,14.105
120,14.161
130,14.261
140,14.406
150,14.588
160,14.792
170,14.997
180,15.178
190,15.310
200,15.372
210,15.351
220,15.239
230,15.041
240,14.767
250,14.437
260,14.077
270,13.711
280,13.364
290,13.058
300,12.804
310,12.607
320,12.461
330,12.355
340,12.269
350,12.181
360,12.068
370,11.912
380,11.700
390,11.427
400,11.097
410,10.725
420,10.329
430,9.934
440,9.568
450,9.255
460,9.015
470,8.860
480,8.794
490,8.810
500,8.895
510,9.027
520,9.184
530,9.340
540,9.475
550,9.573
560,9.628
570,9.640
580,9.621
590,9.588
600,9.563
610,9.568
620,9.627
630,9.756
640,9.963
650,10.251
660,10.609
670,11.021
680,11.464
690,11.912
700,12.337
710,12.716
720,13.034
730,13.279
740,13.453
750,13.565
760,13.631
770,13.671
780,13.711
790,13.769
800,13.865
810,14.006
820,14.194
830,14.422
840,14.673
850,14.925
860,15.153
870,15.334
880,15.445
890,15.471
900,15.406
910,15.252
920,15.022
930,14.734
940,14.412
950,14.082
960,13.769
970,13.493
980,13.265
990,13.091
1000,12.965
1010,12.874
1020,12.798
1030,12.716
1040,12.606
1050,12.448
1060,12.229
1070,11.945
1080,11.601
1090,11.209
1100,10.790
1110,10.369
1120,9.973
1130,9.627
1140,9.351
1150,9.157
1160,9.049
1170,9.021
1180,9.061
1190,9.147
1200,9.256
1210,9.364
1220,9.451
1230,9.501
1240,9.508
1250,9.474
1260,9.410
1270,9.333
1280,9.266
1290,9.233
1300,9.255
1310,9.351
1320,9.528
1330,9.789
1340,10.124
1350,10.518
1360,10.946
1370,11.383
1380,11.801
1390,12.179
1400,12.498
1410,12.750
1420,12.935
1430,13.061
1440,13.146
1450,13.210
1460,13.275
1470,13.364
1480,13.493
1490,13.671
1500,13.898
1510,14.167
1520,14.461
1530,14.759
1540,15.034
1550,15.262
1560,15.420
1570,15.495
1580,15.478
1590,15.372
1600,15.188
1610,14.945
1620,14.667
1630,14.379
1640,14.105
1650,13.865
1660,13.671
1670,13.526
1680,13.427
1690,13.358
1700,13.302
1710,13.235
1720,13.135
1730,12.983
1740,12.767
1750,12.481
1760,12.130
1770,11.728
1780,11.294
1790,10.854
1800,10.435
1810,10.062
1820,9.756
1830,9.528
1840,9.384
1850,9.318
1860,9.316
1870,9.358
1880,9.422
1890,9.484
1900,9.523
1910,9.525
1920,9.484
1930,9.402
1940,9.290
1950,9.167
1960,9.055
1970,8.978
1980,8.959
1990,9.015
2000,9.157
2010,9.384
2020,9.689
2030,10.056
2040,10.461
2050,10.879
2060,11.283
2070,11.649
2080,11.962
2090,12.212
2100,12.399
2110,12.532
2120,12.628
2130,12.706
2140,12.791
2150,12.903
2160,13.058
2170,13.265
2180,13.526
2190,13.832
2200,14.165
2210,14.504
2220,14.822
2230,15.095
2240,15.301
2250,15.423
2260,15.454
2270,15.396
2280,15.260
2290,15.065
2300,14.833
2310,14.590
2320,14.360
2330,14.161
2340,14.006
2350,13.898
2360,13.832
2370,13.793
2380,13.763
2390,13.719
2400,13.638
2410,13.502
2420,13.296
2430,13.017
2440,12.668
2450,12.263
2460,11.823
2470,11.372
2480,10.939
2490,10.547
2500,10.217
2510,9.963
2520,9.789
2530,9.689
2540,9.651
2550,9.655
2560,9.677
2570,9.695
2580,9.689
2590,9.645
2600,9.556
2610,9.426
2620,9.266
2630,9.095
2640,8.935
2650,8.812
2660,8.748
2670,8.761
2680,8.860
2690,9.049
2700,9.318
2710,9.651
2720,10.026
2730,10.417
2740,10.798
2750,11.146
2760,11.444
2770,11.683
2780,11.863
2790,11.994
2800,12.092
2810,12.177
2820,12.272
2830,12.399
2840,12.573
2850,12.804
2860,13.091
2870,13.427
2880,13.793
2890,14.168
2900,14.526
2910,14.841
2920,15.089
2930,15.256
2940,15.334
2950,15.324
2960,15.236
2970,15.089
2980,14.905
2990,14.710
