publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,published_command_mps2,controller_output_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
0,10000000,59.999975,-0.004999999999999005,25.005,0.250025,60.25,25.0,1.5,1.5,60.0,0.0,25.0,0.5
10000000,20000000,59.99985,-0.019999999999999574,25.02,0.5001500000000001,60.5,25.0,1.5,1.5,59.999975,-0.004999999999999005,25.005,1.5
20000000,30000000,59.999575,-0.03500000000000014,25.035,0.7504250000000001,60.75,25.0,1.5,1.5,59.99985,-0.019999999999999574,25.02,1.5
30000000,40000000,59.99915,-0.05000000000000071,25.05,1.0008500000000002,61.0,25.0,1.5,1.5,59.999575,-0.03500000000000014,25.035,1.5
40000000,50000000,59.998575,-0.06500000000000128,25.065,1.2514250000000002,61.25,25.0,1.5,1.5,59.99915,-0.05000000000000071,25.05,1.5
50000000,60000000,59.99785,-0.08000000000000185,25.080000000000002,1.5021500000000003,61.5,25.0,1.5,1.5,59.998575,-0.06500000000000128,25.065,1.5
60000000,70000000,59.996975,-0.09500000000000242,25.095000000000002,1.7530250000000003,61.75,25.0,1.5,1.5,59.99785,-0.08000000000000185,25.080000000000002,1.5
70000000,80000000,59.99595,-0.11000000000000298,25.110000000000003,2.0040500000000003,62.0,25.0,1.5,1.5,59.996975,-0.09500000000000242,25.095000000000002,1.5
80000000,90000000,59.994775,-0.12500000000000355,25.125000000000004,2.2552250000000003,62.25,25.0,1.5,1.5,59.99595,-0.11000000000000298,25.110000000000003,1.5
90000000,100000000,59.99345,-0.14000000000000412,25.140000000000004,2.5065500000000003,62.5,25.0,1.5,1.5,59.994775,-0.12500000000000355,25.125000000000004,1.5
100000000,110000000,59.991975,-0.1550000000000047,25.155000000000005,2.758025,62.75,25.0,1.5,1.5,59.99345,-0.14000000000000412,25.140000000000004,1.5
110000000,120000000,59.99035,-0.17000000000000526,25.170000000000005,3.0096499999999997,63.0,25.0,1.5,1.5,59.991975,-0.1550000000000047,25.155000000000005,1.5
120000000,130000000,59.988575,-0.18500000000000583,25.185000000000006,3.2614249999999996,63.25,25.0,1.5,1.5,59.99035,-0.17000000000000526,25.170000000000005,1.5
130000000,140000000,59.98665,-0.2000000000000064,25.200000000000006,3.5133499999999995,63.5,25.0,1.5,1.5,59.988575,-0.18500000000000583,25.185000000000006,1.5
140000000,150000000,59.984575,-0.21500000000000696,25.215000000000007,3.7654249999999996,63.75,25.0,1.5,1.5,59.98665,-0.2000000000000064,25.200000000000006,1.5
150000000,160000000,59.98235,-0.23000000000000753,25.230000000000008,4.01765,64.0,25.0,1.5,1.5,59.984575,-0.21500000000000696,25.215000000000007,1.5
160000000,170000000,59.979975,-0.2450000000000081,25.245000000000008,4.2700249999999995,64.25,25.0,1.5,1.5,59.98235,-0.23000000000000753,25.230000000000008,1.5
170000000,180000000,59.97745,-0.26000000000000867,25.26000000000001,4.52255,64.5,25.0,1.5,1.5,59.979975,-0.2450000000000081,25.245000000000008,1.5
180000000,190000000,59.974775,-0.27500000000000924,25.27500000000001,4.775225,64.75,25.0,1.5,1.5,59.97745,-0.26000000000000867,25.26000000000001,1.5
190000000,200000000,59.97195,-0.2900000000000098,25.29000000000001,5.0280499999999995,65.0,25.0,1.5,1.5,59.974775,-0.27500000000000924,25.27500000000001,1.5
200000000,210000000,59.968975,-0.3050000000000104,25.30500000000001,5.281025,65.25,25.0,1.5,1.5,59.97195,-0.2900000000000098,25.29000000000001,1.5
210000000,220000000,59.96585,-0.32000000000001094,25.32000000000001,5.5341499999999995,65.5,25.0,1.5,1.5,59.968975,-0.3050000000000104,25.30500000000001,1.5
220000000,230000000,59.962575,-0.3350000000000115,25.33500000000001,5.787425,65.75,25.0,1.5,1.5,59.96585,-0.32000000000001094,25.32000000000001,1.5
230000000,240000000,59.95915,-0.3500000000000121,25.350000000000012,6.04085,66.0,25.0,1.5,1.5,59.962575,-0.3350000000000115,25.33500000000001,1.5
240000000,250000000,59.955575,-0.36500000000001265,25.365000000000013,6.2944249999999995,66.25,25.0,1.5,1.5,59.95915,-0.3500000000000121,25.350000000000012,1.5
250000000,260000000,59.95185,-0.3800000000000132,25.380000000000013,6.54815,66.5,25.0,1.5,1.5,59.955575,-0.36500000000001265,25.365000000000013,1.5
260000000,270000000,59.947975,-0.3950000000000138,25.395000000000014,6.8020249999999995,66.75,25.0,1.5,1.5,59.95185,-0.3800000000000132,25.380000000000013,1.5
270000000,280000000,59.94395,-0.41000000000001435,25.410000000000014,7.05605,67.0,25.0,1.5,1.5,59.947975,-0.3950000000000138,25.395000000000014,1.5
280000000,290000000,59.939775,-0.4250000000000149,25.425000000000015,7.310225,67.25,25.0,1.5,1.5,59.94395,-0.41000000000001435,25.410000000000014,1.5
290000000,300000000,59.93545,-0.4400000000000155,25.440000000000015,7.56455,67.5,25.0,1.5,1.5,59.939775,-0.4250000000000149,25.425000000000015,1.5
300000000,310000000,59.930975000000004,-0.45500000000001606,25.455000000000016,7.819025,67.75,25.0,1.5,1.5,59.93545,-0.4400000000000155,25.440000000000015,1.5
310000000,320000000,59.92635,-0.4700000000000166,25.470000000000017,8.07365,68.0,25.0,1.5,1.5,59.930975000000004,-0.45500000000001606,25.455000000000016,1.5
320000000,330000000,59.921575,-0.4850000000000172,25.485000000000017,8.328425000000001,68.25,25.0,1.5,1.5,59.92635,-0.4700000000000166,25.470000000000017,1.5
330000000,340000000,59.91665,-0.5000000000000178,25.500000000000018,8.583350000000001,68.5,25.0,1.5,1.5,59.921575,-0.4850000000000172,25.485000000000017,1.5
340000000,350000000,59.911575,-0.5150000000000183,25.51500000000002,8.838425000000003,68.75,25.0,1.5,1.5,59.91665,-0.5000000000000178,25.500000000000018,1.5
350000000,360000000,59.906349999999996,-0.5300000000000189,25.53000000000002,9.093650000000004,69.0,25.0,1.5,1.5,59.911575,-0.5150000000000183,25.51500000000002,1.5
360000000,370000000,59.900974999999995,-0.5450000000000195,25.54500000000002,9.349025000000005,69.25,25.0,1.5,1.5,59.906349999999996,-0.5300000000000189,25.53000000000002,1.5
370000000,380000000,59.89545,-0.56000000000002,25.56000000000002,9.604550000000005,69.5,25.0,1.5,1.5,59.900974999999995,-0.5450000000000195,25.54500000000002,1.5
380000000,390000000,59.88977499999999,-0.5750000000000206,25.57500000000002,9.860225000000005,69.75,25.0,1.5,1.5,59.89545,-0.56000000000002,25.56000000000002,1.5
390000000,400000000,59.88394999999999,-0.5900000000000212,25.59000000000002,10.116050000000007,70.0,25.0,1.5,1.5,59.88977499999999,-0.5750000000000206,25.57500000000002,1.5
400000000,410000000,59.87797499999999,-0.6050000000000217,25.60500000000002,10.372025000000008,70.25,25.0,1.5,1.5,59.88394999999999,-0.5900000000000212,25.59000000000002,1.5
410000000,420000000,59.871849999999995,-0.6200000000000223,25.620000000000022,10.628150000000009,70.5,25.0,1.5,1.5,59.87797499999999,-0.6050000000000217,25.60500000000002,1.5
420000000,430000000,59.86557499999999,-0.6350000000000229,25.635000000000023,10.88442500000001,70.75,25.0,1.5,1.5,59.871849999999995,-0.6200000000000223,25.620000000000022,1.5
430000000,440000000,59.85914999999999,-0.6500000000000234,25.650000000000023,11.14085000000001,71.0,25.0,1.5,1.5,59.86557499999999,-0.6350000000000229,25.635000000000023,1.5
440000000,450000000,59.85257499999999,-0.665000000000024,25.665000000000024,11.39742500000001,71.25,25.0,1.5,1.5,59.85914999999999,-0.6500000000000234,25.650000000000023,1.5
450000000,460000000,59.845849999999984,-0.6800000000000246,25.680000000000025,11.654150000000012,71.5,25.0,1.5,1.5,59.85257499999999,-0.665000000000024,25.665000000000024,1.5
460000000,470000000,59.83897499999999,-0.6950000000000252,25.695000000000025,11.911025000000013,71.75,25.0,1.5,1.5,59.845849999999984,-0.6800000000000246,25.680000000000025,1.5
470000000,480000000,59.831949999999985,-0.7100000000000257,25.710000000000026,12.168050000000013,72.0,25.0,1.5,1.5,59.83897499999999,-0.6950000000000252,25.695000000000025,1.5
480000000,490000000,59.82477499999999,-0.7250000000000263,25.725000000000026,12.425225000000014,72.25,25.0,1.5,1.5,59.831949999999985,-0.7100000000000257,25.710000000000026,1.5
490000000,500000000,59.81744999999999,-0.7400000000000269,25.740000000000027,12.682550000000015,72.5,25.0,1.5,1.5,59.82477499999999,-0.7250000000000263,25.725000000000026,1.5
500000000,510000000,59.80997499999998,-0.7550000000000274,25.755000000000027,12.940025000000016,72.75,25.0,1.5,1.5,59.81744999999999,-0.7400000000000269,25.740000000000027,1.5
510000000,520000000,59.80234999999998,-0.770000000000028,25.770000000000028,13.197650000000017,73.0,25.0,1.5,1.5,59.80997499999998,-0.7550000000000274,25.755000000000027,1.5
520000000,530000000,59.79457499999998,-0.7850000000000286,25.78500000000003,13.455425000000018,73.25,25.0,1.5,1.5,59.80234999999998,-0.770000000000028,25.770000000000028,1.5
530000000,540000000,59.78664999999998,-0.8000000000000291,25.80000000000003,13.713350000000018,73.5,25.0,1.5,1.5,59.79457499999998,-0.7850000000000286,25.78500000000003,1.5
540000000,550000000,59.77857499999998,-0.8150000000000297,25.81500000000003,13.97142500000002,73.75,25.0,1.5,1.5,59.78664999999998,-0.8000000000000291,25.80000000000003,1.5
550000000,560000000,59.77034999999998,-0.8300000000000303,25.83000000000003,14.22965000000002,74.0,25.0,1.5,1.5,59.77857499999998,-0.8150000000000297,25.81500000000003,1.5
560000000,570000000,59.76197499999998,-0.8450000000000308,25.84500000000003,14.488025000000022,74.25,25.0,1.5,1.5,59.77034999999998,-0.8300000000000303,25.83000000000003,1.5
570000000,580000000,59.75344999999998,-0.8600000000000314,25.86000000000003,14.746550000000022,74.5,25.0,1.5,1.5,59.76197499999998,-0.8450000000000308,25.84500000000003,1.5
580000000,590000000,59.744774999999976,-0.875000000000032,25.875000000000032,15.005225000000022,74.75,25.0,1.5,1.5,59.75344999999998,-0.8600000000000314,25.86000000000003,1.5
590000000,600000000,59.735949999999974,-0.8900000000000325,25.890000000000033,15.264050000000024,75.0,25.0,1.5,1.5,59.744774999999976,-0.875000000000032,25.875000000000032,1.5
600000000,610000000,59.726974999999975,-0.9050000000000331,25.905000000000033,15.523025000000025,75.25,25.0,1.5,1.5,59.735949999999974,-0.8900000000000325,25.890000000000033,1.5
610000000,620000000,59.71784999999997,-0.9200000000000337,25.920000000000034,15.782150000000026,75.5,25.0,1.5,1.5,59.726974999999975,-0.9050000000000331,25.905000000000033,1.5
620000000,630000000,59.708574999999975,-0.9350000000000342,25.935000000000034,16.041425000000025,75.75,25.0,1.5,1.5,59.71784999999997,-0.9200000000000337,25.920000000000034,1.5
630000000,640000000,59.699149999999975,-0.9500000000000348,25.950000000000035,16.300850000000025,76.0,25.0,1.5,1.5,59.708574999999975,-0.9350000000000342,25.935000000000034,1.5
640000000,650000000,59.68957499999998,-0.9650000000000354,25.965000000000035,16.560425000000023,76.25,25.0,1.5,1.5,59.699149999999975,-0.9500000000000348,25.950000000000035,1.5
650000000,660000000,59.67984999999997,-0.980000000000036,25.980000000000036,16.820150000000023,76.5,25.0,1.5,1.5,59.68957499999998,-0.9650000000000354,25.965000000000035,1.5
660000000,670000000,59.66997499999998,-0.9950000000000365,25.995000000000037,17.080025000000024,76.75,25.0,1.5,1.5,59.67984999999997,-0.980000000000036,25.980000000000036,1.5
670000000,680000000,59.65994999999998,-1.010000000000037,26.010000000000037,17.340050000000023,77.0,25.0,1.5,1.5,59.66997499999998,-0.9950000000000365,25.995000000000037,1.5
680000000,690000000,59.64977499999998,-1.0250000000000377,26.025000000000038,17.600225000000023,77.25,25.0,1.5,1.5,59.65994999999998,-1.010000000000037,26.010000000000037,1.5
690000000,700000000,59.63944999999998,-1.0400000000000382,26.04000000000004,17.86055000000002,77.5,25.0,1.5,1.5,59.64977499999998,-1.0250000000000377,26.025000000000038,1.5
700000000,710000000,59.62897499999998,-1.0550000000000388,26.05500000000004,18.12102500000002,77.75,25.0,1.5,1.5,59.63944999999998,-1.0400000000000382,26.04000000000004,1.5
710000000,720000000,59.61834999999998,-1.0700000000000394,26.07000000000004,18.381650000000022,78.0,25.0,1.5,1.5,59.62897499999998,-1.0550000000000388,26.05500000000004,1.5
720000000,730000000,59.60757499999998,-1.08500000000004,26.08500000000004,18.64242500000002,78.25,25.0,1.5,1.5,59.61834999999998,-1.0700000000000394,26.07000000000004,1.5
730000000,740000000,59.59664999999998,-1.1000000000000405,26.10000000000004,18.90335000000002,78.5,25.0,1.5,1.5,59.60757499999998,-1.08500000000004,26.08500000000004,1.5
740000000,750000000,59.58557499999998,-1.115000000000041,26.11500000000004,19.16442500000002,78.75,25.0,1.5,1.5,59.59664999999998,-1.1000000000000405,26.10000000000004,1.5
750000000,760000000,59.57434999999998,-1.1300000000000416,26.13000000000004,19.42565000000002,79.0,25.0,1.5,1.5,59.58557499999998,-1.115000000000041,26.11500000000004,1.5
760000000,770000000,59.56297499999998,-1.1450000000000422,26.145000000000042,19.68702500000002,79.25,25.0,1.5,1.5,59.57434999999998,-1.1300000000000416,26.13000000000004,1.5
770000000,780000000,59.55144999999998,-1.1600000000000428,26.160000000000043,19.94855000000002,79.5,25.0,1.5,1.5,59.56297499999998,-1.1450000000000422,26.145000000000042,1.5
780000000,790000000,59.53977499999998,-1.1750000000000433,26.175000000000043,20.21022500000002,79.75,25.0,1.5,1.5,59.55144999999998,-1.1600000000000428,26.160000000000043,1.5
790000000,800000000,59.52794999999998,-1.190000000000044,26.190000000000044,20.472050000000017,80.0,25.0,1.5,1.5,59.53977499999998,-1.1750000000000433,26.175000000000043,1.5
800000000,810000000,59.51597499999998,-1.2050000000000445,26.205000000000044,20.734025000000017,80.25,25.0,1.5,1.5,59.52794999999998,-1.190000000000044,26.190000000000044,1.5
810000000,820000000,59.503849999999986,-1.220000000000045,26.220000000000045,20.996150000000018,80.5,25.0,1.5,1.5,59.51597499999998,-1.2050000000000445,26.205000000000044,1.5
820000000,830000000,59.49157499999998,-1.2350000000000456,26.235000000000046,21.258425000000017,80.75,25.0,1.5,1.5,59.503849999999986,-1.220000000000045,26.220000000000045,1.5
830000000,840000000,59.47914999999998,-1.2500000000000462,26.250000000000046,21.520850000000017,81.0,25.0,1.5,1.5,59.49157499999998,-1.2350000000000456,26.235000000000046,1.5
840000000,850000000,59.466574999999985,-1.2650000000000468,26.265000000000047,21.783425000000015,81.25,25.0,1.5,1.5,59.47914999999998,-1.2500000000000462,26.250000000000046,1.5
850000000,860000000,59.45384999999999,-1.2800000000000473,26.280000000000047,22.046150000000015,81.5,25.0,1.5,1.5,59.466574999999985,-1.2650000000000468,26.265000000000047,1.5
860000000,870000000,59.44097499999998,-1.295000000000048,26.295000000000048,22.309025000000016,81.75,25.0,1.5,1.5,59.45384999999999,-1.2800000000000473,26.280000000000047,1.5
870000000,880000000,59.42794999999998,-1.3100000000000485,26.31000000000005,22.572050000000015,82.0,25.0,1.5,1.5,59.44097499999998,-1.295000000000048,26.295000000000048,1.5
880000000,890000000,59.414774999999985,-1.325000000000049,26.32500000000005,22.835225000000015,82.25,25.0,1.5,1.5,59.42794999999998,-1.3100000000000485,26.31000000000005,1.5
890000000,900000000,59.40144999999998,-1.3400000000000496,26.34000000000005,23.098550000000014,82.5,25.0,1.5,1.5,59.414774999999985,-1.325000000000049,26.32500000000005,1.5
900000000,910000000,59.38797499999998,-1.3550000000000502,26.35500000000005,23.362025000000013,82.75,25.0,1.5,1.5,59.40144999999998,-1.3400000000000496,26.34000000000005,1.5
910000000,920000000,59.374349999999986,-1.3700000000000507,26.37000000000005,23.625650000000014,83.0,25.0,1.5,1.5,59.38797499999998,-1.3550000000000502,26.35500000000005,1.5
920000000,930000000,59.36057499999998,-1.3850000000000513,26.38500000000005,23.889425000000013,83.25,25.0,1.5,1.5,59.374349999999986,-1.3700000000000507,26.37000000000005,1.5
930000000,940000000,59.34664999999998,-1.4000000000000519,26.400000000000052,24.153350000000014,83.5,25.0,1.5,1.5,59.36057499999998,-1.3850000000000513,26.38500000000005,1.5
940000000,950000000,59.33257499999999,-1.4150000000000524,26.415000000000052,24.417425000000012,83.75,25.0,1.5,1.5,59.34664999999998,-1.4000000000000519,26.400000000000052,1.5
950000000,960000000,59.31834999999999,-1.430000000000053,26.430000000000053,24.681650000000012,84.0,25.0,1.5,1.5,59.33257499999999,-1.4150000000000524,26.415000000000052,1.5
960000000,970000000,59.30397499999999,-1.4450000000000536,26.445000000000054,24.946025000000013,84.25,25.0,1.5,1.5,59.31834999999999,-1.430000000000053,26.430000000000053,1.5
970000000,980000000,59.28944999999999,-1.4600000000000541,26.460000000000054,25.210550000000012,84.5,25.0,1.5,1.5,59.30397499999999,-1.4450000000000536,26.445000000000054,1.5
980000000,990000000,59.27477499999999,-1.4750000000000547,26.475000000000055,25.475225000000012,84.75,25.0,1.5,1.5,59.28944999999999,-1.4600000000000541,26.460000000000054,1.5
990000000,1000000000,59.25994999999999,-1.4900000000000553,26.490000000000055,25.74005000000001,85.0,25.0,1.5,1.5,59.27477499999999,-1.4750000000000547,26.475000000000055,1.5
1000000000,1010000000,59.24497499999999,-1.5050000000000558,26.505000000000056,26.00502500000001,85.25,25.0,1.5,1.5,59.25994999999999,-1.4900000000000553,26.490000000000055,1.5
1010000000,1020000000,59.229849999999985,-1.5200000000000564,26.520000000000056,26.27015000000001,85.5,25.0,1.5,1.5,59.24497499999999,-1.5050000000000558,26.505000000000056,1.5
1020000000,1030000000,59.21457499999999,-1.535000000000057,26.535000000000057,26.53542500000001,85.75,25.0,1.5,1.5,59.229849999999985,-1.5200000000000564,26.520000000000056,1.5
1030000000,1040000000,59.19914999999999,-1.5500000000000576,26.550000000000058,26.80085000000001,86.0,25.0,1.5,1.5,59.21457499999999,-1.535000000000057,26.535000000000057,1.5
1040000000,1050000000,59.18357499999999,-1.5650000000000581,26.565000000000058,27.06642500000001,86.25,25.0,1.5,1.5,59.19914999999999,-1.5500000000000576,26.550000000000058,1.5
1050000000,1060000000,59.16784999999999,-1.5800000000000587,26.58000000000006,27.33215000000001,86.5,25.0,1.5,1.5,59.18357499999999,-1.5650000000000581,26.565000000000058,1.5
1060000000,1070000000,59.15197499999999,-1.5950000000000593,26.59500000000006,27.59802500000001,86.75,25.0,1.5,1.5,59.16784999999999,-1.5800000000000587,26.58000000000006,1.5
1070000000,1080000000,59.135949999999994,-1.6100000000000598,26.61000000000006,27.86405000000001,87.0,25.0,1.5,1.5,59.15197499999999,-1.5950000000000593,26.59500000000006,1.5
1080000000,1090000000,59.11977499999999,-1.6250000000000604,26.62500000000006,28.13022500000001,87.25,25.0,1.5,1.5,59.135949999999994,-1.6100000000000598,26.61000000000006,1.5
1090000000,1100000000,59.103449999999995,-1.640000000000061,26.64000000000006,28.39655000000001,87.5,25.0,1.5,1.5,59.11977499999999,-1.6250000000000604,26.62500000000006,1.5
1100000000,1110000000,59.086974999999995,-1.6550000000000615,26.65500000000006,28.663025000000008,87.75,25.0,1.5,1.5,59.103449999999995,-1.640000000000061,26.64000000000006,1.5
1110000000,1120000000,59.07034999999999,-1.670000000000062,26.670000000000062,28.92965000000001,88.0,25.0,1.5,1.5,59.086974999999995,-1.6550000000000615,26.65500000000006,1.5
1120000000,1130000000,59.053574999999995,-1.6850000000000627,26.685000000000063,29.19642500000001,88.25,25.0,1.5,1.5,59.07034999999999,-1.670000000000062,26.670000000000062,1.5
1130000000,1140000000,59.036649999999995,-1.7000000000000632,26.700000000000063,29.46335000000001,88.5,25.0,1.5,1.5,59.053574999999995,-1.6850000000000627,26.685000000000063,1.5
