instance,phase,start,time,input.gap_m,input.relative_speed_mps,input.ego_speed_mps,before.accel_mps2,output.accel_mps2,event_handling_needed,terminate_simulation,early_return,last_successful_time
0,initialized,,0.0,,,,,1.5,,,,
1,initialized,,0.0,,,,,-1.2,,,,
0,step,0.0,0.1,60.0,0.0,25.0,1.5,1.5,false,false,false,0.1
1,step,0.0,0.1,42.5,-1.0,25.0,-1.2,-1.2,false,false,false,0.1
0,step,0.1,0.2,60.0,0.0,25.0,1.5,1.5,false,false,false,0.2
1,step,0.1,0.2,42.5,-1.0,25.0,-1.2,-1.2,false,false,false,0.2
0,step,0.2,0.3,10.0,-5.0,25.0,1.5,-3.0,false,false,false,0.30000000000000004
1,step,0.2,0.3,42.5,-1.0,25.0,-1.2,-1.2,false,false,false,0.30000000000000004
0,step,0.3,0.4,10.0,-5.0,25.0,-3.0,-3.0,false,false,false,0.4
1,step,0.3,0.4,100.0,0.0,25.0,-1.2,1.5,false,false,false,0.4
0,step,0.4,0.5,43.5,0.0,25.0,-3.0,0.35,false,false,false,0.5
1,step,0.4,0.5,100.0,0.0,25.0,1.5,1.5,false,false,false,0.5
0,step,0.5,0.6,43.5,0.0,25.0,0.35,0.35,false,false,false,0.6
1,step,0.5,0.6,100.0,0.0,25.0,1.5,1.5,false,false,false,0.6
0,step,0.6,0.7,42.5,0.0,25.0,0.35,0.0,false,false,false,0.7
1,step,0.6,0.7,100.0,0.0,25.0,1.5,1.5,false,false,false,0.7
0,step,0.7,0.8,42.5,0.0,25.0,0.0,0.0,false,false,false,0.7999999999999999
1,step,0.7,0.8,0.0,0.0,25.0,1.5,-3.0,false,false,false,0.7999999999999999
0,step,0.8,0.9,42.5,1.0,25.0,0.0,1.2,false,false,false,0.9
1,step,0.8,0.9,0.0,0.0,25.0,-3.0,-3.0,false,false,false,0.9
0,step,0.9,1.0,42.5,1.0,25.0,1.2,1.2,false,false,false,1.0
1,step,0.9,1.0,0.0,0.0,25.0,-3.0,-3.0,false,false,false,1.0
0,terminated,,1.0,,,,,,,,,
1,terminated,,1.0,,,,,,,,,
