instance,phase,start,time,input.accel_mps2,before.ego_position_m,before.ego_speed_mps,before.lead_position_m,before.lead_speed_mps,before.gap_m,before.relative_speed_mps,output.ego_position_m,output.ego_speed_mps,output.lead_position_m,output.lead_speed_mps,output.gap_m,output.relative_speed_mps,event_handling_needed,terminate_simulation,early_return,last_successful_time
0,initialized,,0.0,,,,,,,,0.0,25.0,60.0,25.0,60.0,0.0,,,,
1,initialized,,0.0,,,,,,,,0.0,25.0,60.0,25.0,60.0,0.0,,,,
0,step,0.0,0.1,1.5,0.0,25.0,60.0,25.0,60.0,0.0,2.5075,25.15,62.5,25.0,59.9925,-0.14999999999999858,false,false,false,0.1
1,step,0.0,0.1,-3.0,0.0,25.0,60.0,25.0,60.0,0.0,2.485,24.7,62.5,25.0,60.015,0.3000000000000007,false,false,false,0.1
0,step,0.1,0.2,1.5,2.5075,25.15,62.5,25.0,59.9925,-0.14999999999999858,5.03,25.299999999999997,65.0,25.0,59.97,-0.29999999999999716,false,false,false,0.2
1,step,0.1,0.2,-3.0,2.485,24.7,62.5,25.0,60.015,0.3000000000000007,4.94,24.4,65.0,25.0,60.06,0.6000000000000014,false,false,false,0.2
0,step,0.2,0.3,1.5,5.03,25.299999999999997,65.0,25.0,59.97,-0.29999999999999716,7.567500000000001,25.449999999999996,67.5,25.0,59.9325,-0.44999999999999574,false,false,false,0.30000000000000004
1,step,0.2,0.3,-3.0,4.94,24.4,65.0,25.0,60.06,0.6000000000000014,7.365000000000001,24.099999999999998,67.5,25.0,60.135,0.9000000000000021,false,false,false,0.30000000000000004
0,step,0.3,0.4,1.5,7.567500000000001,25.449999999999996,67.5,25.0,59.9325,-0.44999999999999574,10.120000000000001,25.599999999999994,70.0,25.0,59.879999999999995,-0.5999999999999943,false,false,false,0.4
1,step,0.3,0.4,-3.0,7.365000000000001,24.099999999999998,67.5,25.0,60.135,0.9000000000000021,9.760000000000002,23.799999999999997,70.0,25.0,60.239999999999995,1.2000000000000028,false,false,false,0.4
0,step,0.4,0.5,1.5,10.120000000000001,25.599999999999994,70.0,25.0,59.879999999999995,-0.5999999999999943,12.6875,25.749999999999993,72.5,25.0,59.8125,-0.7499999999999929,false,false,false,0.5
1,step,0.4,0.5,-3.0,9.760000000000002,23.799999999999997,70.0,25.0,60.239999999999995,1.2000000000000028,12.125,23.499999999999996,72.5,25.0,60.375,1.5000000000000036,false,false,false,0.5
0,step,0.5,0.6,1.5,12.6875,25.749999999999993,72.5,25.0,59.8125,-0.7499999999999929,15.27,25.89999999999999,75.0,25.0,59.730000000000004,-0.8999999999999915,false,false,false,0.6
1,step,0.5,0.6,-3.0,12.125,23.499999999999996,72.5,25.0,60.375,1.5000000000000036,14.459999999999999,23.199999999999996,75.0,25.0,60.54,1.8000000000000043,false,false,false,0.6
0,step,0.6,0.7,1.5,15.27,25.89999999999999,75.0,25.0,59.730000000000004,-0.8999999999999915,17.8675,26.04999999999999,77.5,25.0,59.6325,-1.04999999999999,false,false,false,0.7
1,step,0.6,0.7,-3.0,14.459999999999999,23.199999999999996,75.0,25.0,60.54,1.8000000000000043,16.764999999999997,22.899999999999995,77.5,25.0,60.735,2.100000000000005,false,false,false,0.7
0,step,0.7,0.8,1.5,17.8675,26.04999999999999,77.5,25.0,59.6325,-1.04999999999999,20.48,26.19999999999999,80.0,25.0,59.519999999999996,-1.1999999999999886,false,false,false,0.7999999999999999
1,step,0.7,0.8,-3.0,16.764999999999997,22.899999999999995,77.5,25.0,60.735,2.100000000000005,19.039999999999996,22.599999999999994,80.0,25.0,60.96000000000001,2.4000000000000057,false,false,false,0.7999999999999999
0,step,0.8,0.9,1.5,20.48,26.19999999999999,80.0,25.0,59.519999999999996,-1.1999999999999886,23.1075,26.349999999999987,82.5,25.0,59.3925,-1.3499999999999872,false,false,false,0.9
1,step,0.8,0.9,-3.0,19.039999999999996,22.599999999999994,80.0,25.0,60.96000000000001,2.4000000000000057,21.284999999999993,22.299999999999994,82.5,25.0,61.215,2.7000000000000064,false,false,false,0.9
0,step,0.9,1.0,1.5,23.1075,26.349999999999987,82.5,25.0,59.3925,-1.3499999999999872,25.75,26.499999999999986,85.0,25.0,59.25,-1.4999999999999858,false,false,false,1.0
1,step,0.9,1.0,-3.0,21.284999999999993,22.299999999999994,82.5,25.0,61.215,2.7000000000000064,23.499999999999993,21.999999999999993,85.0,25.0,61.50000000000001,3.000000000000007,false,false,false,1.0
0,terminated,,1.0,,,,,,,,,,,,,,,,,
1,terminated,,1.0,,,,,,,,,,,,,,,,,
