instance,phase,start,time,input.accel_mps2,before.ego_position_m,before.ego_speed_mps,before.lead_position_m,before.lead_speed_mps,before.gap_m,before.relative_speed_mps,output.ego_position_m,output.ego_speed_mps,output.lead_position_m,output.lead_speed_mps,output.gap_m,output.relative_speed_mps,event_handling_needed,terminate_simulation,early_return,last_successful_time
0,initialized,,0.0,,,,,,,,0.0,25.0,60.0,25.0,60.0,0.0,,,,
1,initialized,,0.0,,,,,,,,0.0,25.0,60.0,25.0,60.0,0.0,,,,
0,step,0.0,0.1,0.0,0.0,25.0,60.0,25.0,60.0,0.0,2.5,25.0,62.5,25.0,60.0,0.0,false,false,false,0.1
1,step,0.0,0.1,0.5,0.0,25.0,60.0,25.0,60.0,0.0,2.5025,25.05,62.5,25.0,59.9975,-0.05000000000000071,false,false,false,0.1
0,step,0.1,0.2,0.0,2.5,25.0,62.5,25.0,60.0,0.0,5.0,25.0,65.0,25.0,60.0,0.0,false,false,false,0.2
1,step,0.1,0.2,0.5,2.5025,25.05,62.5,25.0,59.9975,-0.05000000000000071,5.010000000000001,25.1,65.0,25.0,59.99,-0.10000000000000142,false,false,false,0.2
0,step,0.2,0.3,0.0,5.0,25.0,65.0,25.0,60.0,0.0,7.5,25.0,67.5,25.0,60.0,0.0,false,false,false,0.30000000000000004
1,step,0.2,0.3,0.5,5.010000000000001,25.1,65.0,25.0,59.99,-0.10000000000000142,7.522500000000002,25.150000000000002,67.5,25.0,59.9775,-0.15000000000000213,false,false,false,0.30000000000000004
0,step,0.3,0.4,0.0,7.5,25.0,67.5,25.0,60.0,0.0,10.0,25.0,70.0,25.0,60.0,0.0,false,false,false,0.4
1,step,0.3,0.4,0.5,7.522500000000002,25.150000000000002,67.5,25.0,59.9775,-0.15000000000000213,10.040000000000001,25.200000000000003,70.0,25.0,59.96,-0.20000000000000284,false,false,false,0.4
0,step,0.4,0.5,0.0,10.0,25.0,70.0,25.0,60.0,0.0,12.5,25.0,72.5,25.0,60.0,0.0,false,false,false,0.5
1,step,0.4,0.5,0.5,10.040000000000001,25.200000000000003,70.0,25.0,59.96,-0.20000000000000284,12.562500000000002,25.250000000000004,72.5,25.0,59.9375,-0.25000000000000355,false,false,false,0.5
0,step,0.5,0.6,0.0,12.5,25.0,72.5,25.0,60.0,0.0,15.0,25.0,75.0,25.0,60.0,0.0,false,false,false,0.6
1,step,0.5,0.6,0.5,12.562500000000002,25.250000000000004,72.5,25.0,59.9375,-0.25000000000000355,15.090000000000002,25.300000000000004,75.0,25.0,59.91,-0.30000000000000426,false,false,false,0.6
0,step,0.6,0.7,0.0,15.0,25.0,75.0,25.0,60.0,0.0,17.5,25.0,77.5,25.0,60.0,0.0,false,false,false,0.7
1,step,0.6,0.7,0.5,15.090000000000002,25.300000000000004,75.0,25.0,59.91,-0.30000000000000426,17.622500000000002,25.350000000000005,77.5,25.0,59.8775,-0.350000000000005,false,false,false,0.7
0,step,0.7,0.8,0.0,17.5,25.0,77.5,25.0,60.0,0.0,20.0,25.0,80.0,25.0,60.0,0.0,false,false,false,0.7999999999999999
1,step,0.7,0.8,0.5,17.622500000000002,25.350000000000005,77.5,25.0,59.8775,-0.350000000000005,20.160000000000004,25.400000000000006,80.0,25.0,59.839999999999996,-0.4000000000000057,false,false,false,0.7999999999999999
0,step,0.8,0.9,0.0,20.0,25.0,80.0,25.0,60.0,0.0,22.5,25.0,82.5,25.0,60.0,0.0,false,false,false,0.9
1,step,0.8,0.9,0.5,20.160000000000004,25.400000000000006,80.0,25.0,59.839999999999996,-0.4000000000000057,22.702500000000004,25.450000000000006,82.5,25.0,59.7975,-0.4500000000000064,false,false,false,0.9
0,step,0.9,1.0,0.0,22.5,25.0,82.5,25.0,60.0,0.0,25.0,25.0,85.0,25.0,60.0,0.0,false,false,false,1.0
1,step,0.9,1.0,0.5,22.702500000000004,25.450000000000006,82.5,25.0,59.7975,-0.4500000000000064,25.250000000000007,25.500000000000007,85.0,25.0,59.74999999999999,-0.5000000000000071,false,false,false,1.0
0,terminated,,1.0,,,,,,,,,,,,,,,,,
1,terminated,,1.0,,,,,,,,,,,,,,,,,
