instance,phase,time,output.ego_position_m,output.ego_speed_mps,output.lead_position_m,output.lead_speed_mps,output.gap_m,output.relative_speed_mps
0,initialized,0.0,0.0,25.0,60.0,25.0,60.0,0.0
0,step,0.1,2.5,25.0,62.5,25.0,60.0,0.0
0,step,0.2,5.0,25.0,65.0,25.0,60.0,0.0
0,step,0.3,7.5,25.0,67.5,25.0,60.0,0.0
0,step,0.4,10.0,25.0,70.0,25.0,60.0,0.0
0,step,0.5,12.5,25.0,72.5,25.0,60.0,0.0
0,step,0.6,15.0,25.0,75.0,25.0,60.0,0.0
0,step,0.7,17.5,25.0,77.5,25.0,60.0,0.0
0,step,0.8,20.0,25.0,80.0,25.0,60.0,0.0
0,step,0.9,22.5,25.0,82.5,25.0,60.0,0.0
0,step,1.0,25.0,25.0,85.0,25.0,60.0,0.0
0,terminated,1.0,,,,,,
1,initialized,0.0,0.0,25.0,60.0,25.0,60.0,0.0
1,step,0.1,2.5025,25.05,62.5,25.0,59.9975,-0.05000000000000071
1,step,0.2,5.010000000000001,25.1,65.0,25.0,59.99,-0.10000000000000142
1,step,0.3,7.522500000000002,25.150000000000002,67.5,25.0,59.9775,-0.15000000000000213
1,step,0.4,10.040000000000001,25.200000000000003,70.0,25.0,59.96,-0.20000000000000284
1,step,0.5,12.562500000000002,25.250000000000004,72.5,25.0,59.9375,-0.25000000000000355
1,step,0.6,15.090000000000002,25.300000000000004,75.0,25.0,59.91,-0.30000000000000426
1,step,0.7,17.622500000000002,25.350000000000005,77.5,25.0,59.8775,-0.350000000000005
1,step,0.8,20.160000000000004,25.400000000000006,80.0,25.0,59.839999999999996,-0.4000000000000057
1,step,0.9,22.702500000000004,25.450000000000006,82.5,25.0,59.7975,-0.4500000000000064
1,step,1.0,25.250000000000007,25.500000000000007,85.0,25.0,59.74999999999999,-0.5000000000000071
1,terminated,1.0,,,,,,
